WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /Users/vishalpaudel/dotfiles/misc-cli/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/package.json does not contribute any snippets, skipping it
